user_id,gender,age,country,subscription_type,listening_time,songs_played_per_day,skip_rate,device_type,ads_listened_per_week,offline_listening,is_churned
94,Female,36,CA,Family,130,54,0,Web,0,115,0
95,Female,30,IN,Premium,100,22,0.188,Mobile,0,116,0
96,Female,19,IN,Premium,54,28,0.129,Web,0,98,1
97,Female,37,FR,Student,134,21,0.055,Mobile,0,9,0
98,Male,18,GB,Free,519,47,0.266,Mobile,28,10,0
99,Male,32,AU,Free,72,28,0.483,Mobile,24,7,1
100,Male,23,DE,Premium,81,28,0.227,Mobile,0,132,0
101,Male,27,SE,Premium,223,24,0.818,Desktop,0,112,1
102,Female,34,BR,Free,288,31,0.191,Mobile,22,11,0
103,Male,34,US,Premium,89,27,0.331,Web,0,125,1
104,Female,40,US,Free,141,26,0.556,Mobile,17,11,1
105,Other,29,CA,Premium,210,23,0.214,Mobile,0,121,0
106,Male,32,IN,Family,139,26,0.15,Desktop,0,119,0
107,Male,26,CA,Free,198,23,0.31,Mobile,21,11,1
108,Female,31,IN,Premium,233,25,0.399,Mobile,0,115,0
109,Male,33,US,Premium,127,33,0.188,Mobile,0,103,0
110,Male,29,US,Free,103,55,0.164,Mobile,14,7,1
111,Male,15,US,Free,43,26,0.115,Web,13,6,0
112,Male,32,CA,Free,48,38,0.476,Web,19,11,1
113,Other,32,FR,Premium,53,33,0.278,Desktop,0,116,0
114,Female,24,US,Free,233,40,0.579,Desktop,28,6,1
115,Female,19,DE,Free,310,27,0.237,Mobile,15,9,0
116,Female,41,US,Free,53,51,0.258,Mobile,21,10,0
117,Female,33,US,Free,207,32,0.475,Desktop,11,9,1
118,Male,28,IN,Premium,51,34,0.026,Mobile,0,130,0
119,Female,20,US,Premium,26,34,0.323,Mobile,0,112,1
120,Female,23,FR,Free,390,24,0.124,Desktop,19,9,0
121,Female,40,BR,Premium,58,29,0.196,Mobile,0,116,1
122,Female,31,BR,Premium,128,50,0.106,Mobile,0,124,0
123,Male,25,US,Free,23,24,0.372,Desktop,17,7,1
124,Male,34,GB,Free,228,28,0.328,Mobile,17,15,1
125,Male,23,IN,Family,110,40,0.583,Desktop,0,127,1
126,Male,42,IN,Premium,141,35,0.359,Mobile,0,120,0
127,Female,40,IN,Premium,145,37,0.674,Mobile,0,118,1
128,Female,26,US,Free,59,30,0.428,Mobile,20,13,1
129,Male,24,US,Family,75,20,0.202,Desktop,0,117,1
130,Female,13,DE,Premium,48,28,0.085,Mobile,0,132,0
131,Male,18,IN,Family,168,23,0.04,Mobile,0,131,0
132,Male,19,US,Student,142,26,0.237,Mobile,0,18,1
133,Male,31,US,Student,129,39,0.422,Mobile,0,8,1
134,Male,27,IN,Family,209,24,0.148,Mobile,0,113,0
135,Other,19,US,Free,163,29,0.447,Mobile,26,10,1
136,Male,27,US,Family,117,26,0.393,Mobile,0,127,1
137,Female,34,US,Free,213,28,0.363,Mobile,19,5,0
138,Female,34,US,Family,81,34,0.256,Mobile,0,127,1
139,Male,14,DE,Free,41,27,0.384,Mobile,18,12,1
140,Other,28,US,Premium,106,44,0.213,Mobile,0,124,1
141,Other,18,US,Free,79,26,0.048,Mobile,25,5,1
142,Male,37,US,Premium,266,41,0.01,Mobile,0,144,0
143,Female,36,US,Free,205,32,0.291,Web,33,16,0
144,Male,22,FR,Free,65,33,0.141,Mobile,15,10,1
145,Male,23,US,Family,56,28,0.521,Mobile,0,128,1
146,Male,26,CA,Premium,83,23,0.355,Mobile,0,100,1
147,Female,13,US,Free,121,33,0.094,Desktop,32,9,1
148,Female,32,US,Free,127,27,0.169,Web,23,11,1
149,Male,27,US,Free,82,29,0.484,Mobile,24,11,1
150,Male,37,US,Premium,149,34,0.272,Desktop,0,125,0
151,Other,21,FR,Student,74,28,0.714,Mobile,0,9,1
152,Male,25,GB,Premium,330,29,0.58,Mobile,0,125,0
153,Male,17,BR,Free,111,49,0.071,Mobile,17,9,0
154,Female,21,US,Free,215,34,0.527,Mobile,14,9,1
155,Other,20,US,Student,229,46,0.312,Mobile,0,8,0
156,Male,37,US,Free,124,37,0.252,Mobile,25,10,0
157,Female,24,IN,Premium,88,32,0.103,Mobile,0,116,0
158,Female,30,US,Free,41,44,0.221,Desktop,14,17,1
159,Male,26,GB,Premium,70,30,0.363,Mobile,0,125,0
160,Female,19,US,Family,111,52,0.103,Mobile,0,104,0
161,Male,28,US,Free,69,35,0.505,Mobile,14,11,1
162,Female,34,AU,Premium,97,28,0.169,Mobile,0,106,0
163,Female,20,CA,Premium,363,51,0.031,Mobile,0,112,0
164,Female,36,IN,Free,105,29,0.22,Mobile,22,12,1
165,Male,23,FR,Free,169,50,0.625,Mobile,23,12,1
166,Female,26,GB,Premium,230,39,0.096,Mobile,0,140,0
167,Male,34,US,Free,339,28,0.32,Web,29,10,1
168,Male,24,DE,Family,178,33,0.127,Mobile,0,125,0
169,Male,30,US,Free,9,24,0.042,Mobile,25,9,1
170,Female,27,GB,Free,151,30,0.503,Mobile,27,10,1
171,Female,31,DE,Free,57,29,0.386,Web,17,8,1
172,Male,13,IN,Free,82,26,0.228,Mobile,22,13,1
173,Female,15,FR,Free,126,29,0.122,Mobile,26,11,0
174,Male,34,FR,Free,227,24,0.563,Mobile,16,13,1
175,Female,38,US,Premium,127,49,0.363,Mobile,0,115,0
176,Male,22,US,Student,63,24,0.177,Mobile,0,12,1
177,Female,28,US,Premium,231,31,0.462,Mobile,0,133,0
178,Male,32,IN,Free,66,27,0.183,Mobile,12,8,1
179,Other,35,NL,Student,9,34,0.268,Mobile,0,10,1
180,Male,13,US,Free,83,27,0.385,Mobile,25,8,1
181,Male,22,US,Free,68,31,0.066,Desktop,23,10,1
182,Male,27,GB,Free,140,36,0.262,Mobile,32,10,1
183,Other,35,BR,Free,224,38,0.295,Desktop,24,6,0
184,Female,49,CA,Family,65,24,0.397,Mobile,0,110,1
185,Male,28,US,Free,135,28,0.261,Mobile,15,11,1
186,Female,18,NL,Premium,289,28,0.098,Mobile,0,118,0
187,Female,33,BR,Free,60,28,0.31,Mobile,22,14,1
188,Female,40,US,Premium,147,32,0.572,Mobile,0,147,0
189,Female,30,AU,Premium,442,28,0.215,Desktop,0,112,0
190,Male,22,GB,Free,164,29,0.185,Mobile,21,12,0
191,Male,37,US,Premium,115,20,0.173,Desktop,0,106,0
192,Female,35,GB,Premium,185,41,0.409,Mobile,0,138,0
193,Other,21,BR,Premium,224,28,0.137,Mobile,0,108,0
194,Female,33,FR,Premium,143,29,0.089,Web,0,125,0
195,Male,37,US,Premium,361,27,0.52,Mobile,0,127,0
196,Male,39,NL,Free,99,27,0.18,Mobile,14,8,1
197,Female,29,US,Premium,78,27,0.185,Mobile,0,116,0
198,Female,27,IN,Free,167,47,0.311,Mobile,23,9,1
199,Female,39,DE,Free,115,27,0.238,Desktop,20,11,1
200,Female,20,US,Family,272,28,0.152,Mobile,0,119,0
201,Female,33,US,Free,242,39,0.406,Mobile,26,10,1
202,Male,19,BR,Free,154,26,0.245,Web,10,9,1
203,Male,38,GB,Free,188,32,0.277,Desktop,28,14,1
204,Female,27,FR,Free,97,28,0.542,Mobile,27,6,1
205,Female,40,GB,Free,155,30,0.234,Mobile,22,11,1
206,Male,33,IN,Student,20,28,0.309,Mobile,0,8,1
207,Male,20,GB,Free,290,28,0.497,Mobile,23,8,1
208,Female,41,US,Premium,169,19,0.496,Mobile,0,117,0
209,Male,42,US,Free,183,29,0.186,Mobile,25,11,0
210,Male,37,BR,Premium,126,42,0.271,Mobile,0,122,0
211,Female,23,GB,Student,147,47,0.324,Mobile,0,5,1
212,Female,27,US,Free,114,24,0.165,Mobile,20,7,1
213,Female,31,AU,Family,184,24,0.173,Mobile,0,132,0
214,Male,24,IN,Student,123,31,0.204,Mobile,0,9,1
215,Female,43,US,Premium,121,56,0.139,Mobile,0,110,0
216,Male,31,SE,Free,13,34,0.367,Mobile,10,10,1
217,Male,13,IN,Premium,160,34,0.238,Mobile,0,123,0
218,Female,32,US,Family,179,41,0.031,Mobile,0,128,0
219,Female,27,US,Free,208,20,0.263,Mobile,23,14,1
220,Female,29,IN,Free,183,33,0.334,Mobile,26,9,1
221,Female,27,IN,Free,22,25,0.446,Desktop,28,10,1
222,Female,36,US,Free,140,24,0.299,Desktop,22,5,1
223,Male,38,US,Family,126,32,0.298,Mobile,0,110,0
224,Male,32,US,Free,90,28,0.342,Mobile,19,8,1
225,Male,27,DE,Free,244,29,0.486,Desktop,20,9,1
226,Male,29,US,Premium,152,35,0.19,Desktop,0,120,0
227,Other,30,US,Free,246,31,0.23,Web,17,6,1
228,Male,23,FR,Free,33,45,0.494,Mobile,18,4,1
229,Female,34,IN,Premium,95,39,0.428,Web,0,114,1
230,Female,33,GB,Free,17,26,0.064,Mobile,22,6,1
231,Female,42,US,Free,305,29,0.145,Mobile,23,11,0
232,Female,40,GB,Free,250,31,0.01,Mobile,15,10,0
233,Female,24,US,Premium,338,36,0.618,Mobile,0,128,0
234,Female,36,NL,Family,275,34,0.545,Mobile,0,120,0
235,Male,22,IN,Family,141,19,0.19,Mobile,0,121,0
236,Female,35,US,Free,97,26,0.314,Web,20,12,0
237,Male,25,US,Premium,188,36,0.389,Mobile,0,132,1
238,Male,21,CA,Family,101,21,0.214,Web,0,121,0
239,Female,32,DE,Free,192,31,0.164,Mobile,22,11,1
240,Male,13,GB,Student,102,29,0.525,Mobile,0,11,1
241,Other,15,BR,Family,222,39,0.069,Mobile,0,106,0
242,Other,28,IN,Free,66,29,0.219,Mobile,12,13,1
243,Other,30,GB,Free,217,26,0.395,Desktop,19,11,1
244,Male,27,BR,Free,52,24,0.816,Mobile,18,15,1
245,Male,17,IN,Free,109,25,0.176,Mobile,9,8,1
246,Other,23,IN,Family,40,32,0.582,Desktop,0,143,1
247,Male,33,NL,Student,114,32,0.349,Mobile,0,12,0
248,Other,34,US,Free,41,55,0.057,Mobile,20,11,1
249,Other,29,US,Premium,89,31,0.401,Mobile,0,137,0
250,Female,39,AU,Premium,173,27,0.064,Mobile,0,140,0
251,Male,33,IN,Free,97,33,0.099,Mobile,20,12,1
252,Male,24,AU,Premium,85,39,0.177,Mobile,0,120,0
253,Female,27,US,Student,74,47,0.281,Mobile,0,5,1
254,Male,18,DE,Free,59,36,0.473,Mobile,21,7,1
255,Male,29,US,Free,56,42,0.075,Desktop,17,12,0
256,Female,38,GB,Free,210,38,0.362,Web,24,17,1
257,Other,35,US,Free,272,33,0.209,Mobile,18,11,1
258,Female,41,US,Free,129,34,0.125,Mobile,24,5,1
259,Female,27,US,Free,248,32,0.198,Mobile,24,10,0
260,Male,40,DE,Premium,351,29,0.393,Mobile,0,124,0
261,Female,28,US,Premium,116,26,0.477,Mobile,0,134,0
262,Other,41,US,Free,89,30,0.541,Desktop,19,15,1
263,Male,29,US,Free,90,53,0.178,Desktop,20,6,1
264,Female,35,US,Family,176,27,0.078,Mobile,0,98,0
265,Female,41,AU,Family,508,32,0.2,Mobile,0,107,0
266,Female,28,US,Free,36,38,0.251,Mobile,23,11,1
267,Female,31,US,Free,446,24,0.352,Web,23,12,0
268,Female,40,BR,Family,86,39,0.303,Web,0,125,0
269,Male,28,FR,Free,109,21,0.081,Mobile,24,11,0
270,Male,19,IN,Free,198,30,0.306,Mobile,15,6,1
271,Female,47,DE,Free,467,31,0.139,Mobile,27,14,0
272,Female,26,NL,Free,74,39,0.491,Mobile,15,7,1
273,Female,31,US,Free,375,24,0.125,Mobile,12,14,0
274,Other,39,SE,Free,19,31,0.248,Mobile,23,9,1
275,Female,25,BR,Premium,52,24,0.253,Mobile,0,120,1
276,Female,21,DE,Family,131,31,0.042,Mobile,0,120,0
277,Female,32,FR,Student,69,32,0.382,Mobile,0,9,1
278,Female,15,FR,Free,134,32,0.061,Mobile,15,9,0
279,Female,27,US,Free,169,36,0.244,Mobile,12,8,0
280,Female,31,US,Premium,123,30,0.533,Mobile,0,104,1
281,Female,27,NL,Premium,241,33,0.204,Web,0,117,0
282,Male,17,CA,Free,293,34,0.483,Mobile,20,7,1
283,Male,42,US,Free,290,29,0.452,Mobile,19,9,1
284,Male,30,IN,Free,61,29,0.327,Mobile,21,6,1
285,Female,41,CA,Free,286,34,0.399,Mobile,15,8,1
286,Male,27,US,Free,465,34,0.095,Mobile,26,11,0
287,Female,22,IN,Student,174,37,0.131,Mobile,0,8,0
288,Female,32,IN,Free,130,35,0.087,Web,22,8,0
289,Male,28,US,Student,137,43,0.397,Mobile,0,10,1
290,Female,20,NL,Family,44,24,0.112,Web,0,122,1
291,Male,41,US,Free,190,25,0.407,Mobile,18,11,1
292,Male,25,GB,Premium,90,33,0.135,Mobile,0,113,0
293,Female,15,US,Premium,482,23,0.074,Mobile,0,125,0
294,Male,40,DE,Free,269,27,0.303,Desktop,25,13,1
295,Male,25,US,Free,205,23,0.246,Web,24,10,1
296,Female,25,US,Premium,170,28,0.614,Desktop,0,113,0
297,Female,15,BR,Premium,18,29,0.376,Mobile,0,128,1
298,Male,43,US,Premium,284,53,0.431,Mobile,0,82,0
299,Female,19,IN,Free,90,29,0.039,Mobile,16,8,1
300,Male,30,CA,Free,123,32,0.273,Mobile,18,9,1
301,Male,37,SE,Free,149,29,0.101,Mobile,32,16,1
302,Female,33,DE,Free,415,35,0.231,Mobile,28,8,0
303,Female,29,US,Premium,313,22,0.574,Mobile,0,131,0
304,Female,16,US,Family,24,20,0.299,Mobile,0,115,0
305,Female,23,BR,Premium,71,30,0.604,Mobile,0,135,1
306,Other,31,BR,Premium,345,46,0.129,Desktop,0,114,0
307,Female,23,US,Premium,126,31,0.49,Mobile,0,125,1
308,Male,31,DE,Premium,49,31,0.242,Mobile,0,126,1
309,Female,35,GB,Premium,160,22,0.413,Mobile,0,132,0
310,Male,37,NL,Free,178,34,0.313,Mobile,16,9,1
311,Male,20,NL,Student,48,27,0.341,Mobile,0,9,1
312,Male,47,SE,Free,202,32,0.094,Web,17,13,0
313,Male,36,BR,Free,27,26,0.232,Mobile,14,11,1
314,Other,29,AU,Free,334,29,0,Mobile,20,8,0
315,Female,38,US,Free,233,38,0.318,Mobile,15,6,0
316,Female,48,BR,Premium,250,26,0.114,Mobile,0,107,0
317,Male,18,IN,Free,134,38,0.141,Mobile,25,12,1
318,Male,28,NL,Family,303,37,0.314,Mobile,0,109,0
319,Male,13,CA,Free,174,25,0.093,Mobile,21,10,0
320,Male,31,US,Free,304,21,0.154,Web,26,12,0
321,Female,32,DE,Free,147,38,0.312,Mobile,27,11,1
322,Female,29,FR,Premium,316,32,0.375,Mobile,0,121,0
323,Female,24,US,Family,82,52,0.155,Mobile,0,103,0
324,Male,13,GB,Free,68,38,0.277,Mobile,23,9,1
325,Other,32,DE,Free,166,29,0.218,Mobile,19,10,1
326,Female,41,US,Student,91,35,0.286,Desktop,0,14,0
327,Female,25,US,Free,141,24,0.154,Desktop,22,12,1
328,Female,33,US,Free,23,36,0.487,Mobile,19,8,1
329,Male,17,AU,Free,205,28,0,Mobile,27,7,0
330,Male,33,IN,Free,295,32,0.479,Web,15,8,1
331,Male,26,US,Free,89,25,0.34,Web,24,13,1
332,Female,23,IN,Free,184,30,0.099,Mobile,20,12,0
333,Male,23,IN,Family,234,28,0.038,Mobile,0,133,0
334,Male,26,US,Premium,98,34,0.478,Desktop,0,107,1
335,Male,33,US,Family,41,52,0.399,Mobile,0,127,1
336,Male,19,DE,Premium,156,18,0.295,Mobile,0,127,1
337,Female,26,GB,Premium,218,33,0.177,Mobile,0,132,0
338,Female,29,IN,Premium,62,26,0.578,Desktop,0,93,1
339,Female,21,GB,Family,274,31,0.082,Mobile,0,87,0
340,Male,44,US,Free,183,34,0.531,Mobile,24,9,1
341,Female,23,NL,Free,84,23,0.492,Mobile,26,12,1
342,Female,24,US,Premium,360,33,0.238,Desktop,0,110,0
343,Male,22,IN,Student,97,50,0.071,Mobile,0,11,1
344,Male,44,US,Student,23,51,0.196,Web,0,4,0
345,Male,34,US,Premium,244,19,0.38,Web,0,125,0
346,Female,22,GB,Free,70,26,0.344,Mobile,22,8,1
347,Female,38,US,Free,107,30,0.491,Mobile,20,13,1
348,Male,31,GB,Student,93,31,0.501,Mobile,0,12,1
349,Male,32,US,Free,241,33,0.242,Web,15,10,0
350,Female,27,CA,Free,164,26,0.384,Mobile,15,8,1
351,Female,24,FR,Student,55,29,0.374,Mobile,0,10,1
352,Female,32,US,Free,53,27,0.16,Mobile,18,7,1
353,Female,25,BR,Premium,47,24,0.257,Mobile,0,158,0
354,Male,44,US,Premium,100,24,0.126,Mobile,0,110,0
355,Male,19,US,Free,264,37,0.289,Mobile,24,7,0
356,Female,42,FR,Free,118,33,0.526,Mobile,32,13,1
357,Male,29,GB,Free,336,33,0.447,Web,15,10,1
358,Female,32,GB,Premium,133,20,0.351,Mobile,0,128,1
359,Other,36,US,Free,42,27,0.216,Mobile,20,10,1
360,Female,24,BR,Free,32,24,0.475,Web,20,21,1
361,Male,36,DE,Student,267,28,0.069,Mobile,0,9,0
362,Female,13,US,Free,196,31,0.116,Mobile,24,7,1
363,Female,24,US,Free,73,25,0.294,Desktop,10,12,1
364,Female,22,BR,Free,39,29,0.363,Web,26,8,1
365,Other,19,CA,Free,67,30,0.02,Mobile,24,14,0
366,Male,28,US,Student,210,42,0.135,Desktop,0,8,0
367,Other,33,US,Free,258,26,0.56,Mobile,16,11,1
368,Other,35,US,Free,35,37,0.158,Mobile,20,9,0
369,Male,31,GB,Family,56,28,0.211,Web,0,106,0
370,Male,24,BR,Premium,387,44,0.029,Mobile,0,112,0
371,Male,32,GB,Free,213,36,0.059,Mobile,24,12,0
372,Male,30,GB,Family,53,35,0.63,Mobile,0,111,1
373,Male,37,AU,Premium,77,30,0.274,Mobile,0,111,0
374,Female,36,CA,Free,324,35,0.141,Mobile,24,10,0
375,Male,30,CA,Premium,92,47,0.097,Mobile,0,118,0
376,Male,22,US,Student,101,28,0.257,Mobile,0,11,1
377,Female,24,DE,Free,99,21,0.144,Mobile,16,12,1
378,Male,25,CA,Premium,100,29,0.428,Mobile,0,98,1
379,Female,27,GB,Student,224,26,0.547,Mobile,0,12,0
380,Male,32,SE,Premium,161,45,0.53,Mobile,0,125,1
381,Male,35,BR,Free,222,29,0.416,Web,17,10,1
382,Female,29,IN,Free,80,39,0.126,Mobile,22,14,1
383,Female,30,CA,Premium,14,32,0.047,Mobile,0,110,0
384,Female,31,GB,Free,89,22,0.301,Mobile,14,5,1
385,Female,25,US,Student,110,29,0.258,Mobile,0,5,1
386,Female,22,US,Free,176,23,0.442,Mobile,15,7,1
387,Male,15,IN,Free,105,29,0.331,Mobile,21,11,1
388,Male,24,GB,Premium,58,24,0.637,Mobile,0,103,1
389,Female,33,BR,Premium,30,32,0.387,Mobile,0,102,1
390,Female,24,US,Free,507,26,0.183,Mobile,21,16,1
391,Other,28,GB,Free,231,31,0.066,Mobile,25,10,0
392,Male,33,FR,Premium,158,28,0.135,Mobile,0,115,0
393,Male,34,GB,Family,140,32,0.167,Web,0,123,0
394,Female,21,AU,Premium,89,40,0.074,Web,0,109,0
395,Male,37,SE,Free,117,23,0.147,Mobile,26,6,1
396,Other,39,US,Free,62,32,0.369,Desktop,18,15,1
397,Female,20,US,Family,133,28,0.136,Mobile,0,110,0
398,Male,23,US,Student,210,25,0.257,Mobile,0,9,0
399,Female,39,FR,Free,112,33,0.313,Mobile,19,9,1
400,Female,28,US,Premium,22,39,0.318,Mobile,0,107,1
401,Male,13,IN,Free,182,29,0.187,Mobile,23,6,1
402,Other,18,GB,Premium,158,25,0.109,Mobile,0,132,0
403,Female,28,DE,Family,241,31,0.247,Web,0,135,0
404,Female,20,IN,Free,122,46,0.286,Desktop,21,7,1
405,Male,26,CA,Premium,225,31,0.593,Web,0,123,0
406,Female,30,CA,Free,31,26,0.286,Web,16,9,1
407,Male,41,US,Free,58,34,0.251,Desktop,8,10,1
408,Male,27,GB,Premium,103,25,0.228,Mobile,0,115,1
409,Other,38,CA,Free,133,37,0.445,Mobile,25,10,1
410,Male,41,GB,Premium,234,24,0.035,Mobile,0,101,0
411,Male,41,AU,Free,158,34,0.28,Mobile,22,10,1
412,Other,32,AU,Premium,63,36,0.286,Mobile,0,114,0
413,Other,14,BR,Free,189,24,0.344,Desktop,20,14,1
414,Female,33,US,Premium,77,21,0.185,Web,0,106,0
415,Female,38,IN,Premium,98,34,0.579,Mobile,0,117,1
416,Male,29,GB,Student,197,29,0.553,Mobile,0,11,1
417,Male,43,US,Family,72,23,0.075,Desktop,0,116,0
418,Male,36,US,Free,192,44,0.054,Mobile,23,9,0
419,Female,34,US,Free,33,30,0.05,Mobile,10,17,1
420,Female,38,US,Premium,64,29,0.122,Desktop,0,115,0
421,Female,32,GB,Premium,60,24,0.287,Desktop,0,115,0
422,Female,13,NL,Free,82,30,0.415,Mobile,22,0,1
423,Male,26,US,Free,80,36,0.127,Web,15,10,1
424,Female,39,AU,Premium,62,33,0.51,Mobile,0,123,0
425,Male,23,US,Family,109,32,0.116,Mobile,0,113,0
426,Female,28,US,Family,28,26,0.273,Mobile,0,119,1
427,Male,21,GB,Free,27,32,0.667,Mobile,26,7,1
428,Female,44,FR,Free,172,34,0.191,Mobile,28,9,1
429,Male,43,US,Free,48,36,0.575,Web,16,8,1
430,Male,22,US,Free,90,25,0.293,Mobile,13,9,1
431,Male,31,GB,Premium,135,31,0.487,Mobile,0,123,0
432,Female,24,US,Premium,358,31,0.05,Mobile,0,132,0
433,Female,34,IN,Free,129,27,0.517,Mobile,23,11,1
434,Male,34,GB,Free,266,26,0.274,Web,23,11,0
435,Male,36,US,Free,156,26,0.403,Mobile,19,8,1
436,Female,32,AU,Student,423,55,0.076,Mobile,0,10,0
437,Male,53,US,Free,247,37,0.322,Mobile,16,10,1
438,Female,21,IN,Free,133,47,0.329,Desktop,16,8,1
